nama_provinsi,desa_kelurahan,ketersediaan_tempat_pembuangan_sampah,tahun
JAWA BARAT,JAMPANG,TIDAK ADA,2019.0
JAWA BARAT,CIBADUNG,TIDAK ADA,2019.0
JAWA BARAT,CIBINONG,TIDAK ADA,2019.0
JAWA BARAT,RAWAKALONG,TIDAK ADA,2019.0
JAWA BARAT,PABUARAN,TIDAK ADA,2019.0
JAWA BARAT,BOJONG,TIDAK ADA,2019.0
JAWA BARAT,PARAKANJAYA,TIDAK ADA,2019.0
JAWA BARAT,KEMANG,TIDAK ADA,2019.0
JAWA BARAT,PABUARAN,ADA,2019.0
JAWA BARAT,SEMPLAK BARAT,TIDAK ADA,2019.0
JAWA BARAT,JAMPANG,ADA,2019.0
JAWA BARAT,PONDOK UDIK,TIDAK ADA,2019.0
JAWA BARAT,TEGAL,TIDAK ADA,2019.0
JAWA BARAT,BOJONGBARU,ADA,2019.0
JAWA BARAT,CIMANGGIS,TIDAK ADA,2019.0
JAWA BARAT,SUSUKAN,TIDAK ADA,2019.0
JAWA BARAT,RAGAJAYA,ADA,2019.0
JAWA BARAT,KEDUNGWARINGIN,TIDAK ADA,2019.0
JAWA BARAT,WARINGINJAYA,TIDAK ADA,2019.0
JAWA BARAT,RAWAPANJANG,ADA,2019.0
JAWA BARAT,BOJONGGEDE,ADA,2019.0
JAWA BARAT,LEUWILIANG,TIDAK ADA,2019.0
JAWA BARAT,PURASARI,ADA,2019.0
JAWA BARAT,KARYASARI,ADA,2019.0
JAWA BARAT,PABANGBON,TIDAK ADA,2019.0
JAWA BARAT,KARACAK,TIDAK ADA,2019.0
JAWA BARAT,BARENGKOK,ADA,2019.0
JAWA BARAT,LEUWIMEKAR,TIDAK ADA,2019.0
JAWA BARAT,PURASEDA,ADA,2019.0
JAWA BARAT,CIBEBER I,ADA,2019.0
JAWA BARAT,CIBEBER II,ADA,2019.0
JAWA BARAT,KAREHKEL,TIDAK ADA,2019.0
JAWA BARAT,CIAMPEA,TIDAK ADA,2019.0
JAWA BARAT,CINANGKA,TIDAK ADA,2019.0
JAWA BARAT,CIHIDEUNGUDIK,ADA,2019.0
JAWA BARAT,BOJONGJENGKOL,ADA,2019.0
JAWA BARAT,TEGALWARU,ADA,2019.0
JAWA BARAT,CIBUNTU,TIDAK ADA,2019.0
JAWA BARAT,CICADAS,TIDAK ADA,2019.0
JAWA BARAT,CIBADAK,ADA,2019.0
JAWA BARAT,BOJONGRANGKAS,TIDAK ADA,2019.0
JAWA BARAT,CIHIDEUNGHILIR,ADA,2019.0
JAWA BARAT,CIBANTENG,ADA,2019.0
JAWA BARAT,BENTENG,ADA,2019.0
JAWA BARAT,CIAMPEA UDIK,TIDAK ADA,2019.0
JAWA BARAT,SITU UDIK,ADA,2019.0
JAWA BARAT,SITU ILIR,ADA,2019.0
JAWA BARAT,CEMPLANG,TIDAK ADA,2019.0
JAWA BARAT,CIBATOK I,ADA,2019.0
JAWA BARAT,CIARUTEUN UDIK,ADA,2019.0
JAWA BARAT,LEUWEUNGKOLOT,ADA,2019.0
JAWA BARAT,CIMANGGU I,TIDAK ADA,2019.0
JAWA BARAT,CIMANGGU II,ADA,2019.0
JAWA BARAT,DUKUH,ADA,2019.0
JAWA BARAT,CIJUJUNG,TIDAK ADA,2019.0
JAWA BARAT,CIARUTEUN ILIR,TIDAK ADA,2019.0
JAWA BARAT,CIBATOK II,TIDAK ADA,2019.0
JAWA BARAT,SUKAMAJU,TIDAK ADA,2019.0
JAWA BARAT,GALUGA,ADA,2019.0
JAWA BARAT,GIRIMULYA,TIDAK ADA,2019.0
JAWA BARAT,PURWABAKTI,ADA,2019.0
JAWA BARAT,CIBUNIAN,TIDAK ADA,2019.0
JAWA BARAT,CIBITUNGWETAN,TIDAK ADA,2019.0
JAWA BARAT,GUNUNGMENYAN,ADA,2019.0
JAWA BARAT,GUNUNGBUNDER II,TIDAK ADA,2019.0
JAWA BARAT,PASAREAN,TIDAK ADA,2019.0
JAWA BARAT,CIMAYANG,TIDAK ADA,2019.0
JAWA BARAT,PAMIJAHAN,TIDAK ADA,2019.0
JAWA BARAT,CIBENING,ADA,2019.0
JAWA BARAT,GUNUNGBUNDER I,TIDAK ADA,2019.0
JAWA BARAT,CIBITUNG KULON,TIDAK ADA,2019.0
JAWA BARAT,GUNUNG PICUNG,TIDAK ADA,2019.0
JAWA BARAT,CIASIHAN,TIDAK ADA,2019.0
JAWA BARAT,GUNUNGSARI,TIDAK ADA,2019.0
JAWA BARAT,CIASMARA,ADA,2019.0
JAWA BARAT,RUMPIN,TIDAK ADA,2019.0
JAWA BARAT,LEUWIBATU,ADA,2019.0
JAWA BARAT,CIDOKOM,TIDAK ADA,2019.0
JAWA BARAT,GOBANG,TIDAK ADA,2019.0
JAWA BARAT,CIBODAS,TIDAK ADA,2019.0
JAWA BARAT,RABAK,ADA,2019.0
JAWA BARAT,KAMPUNGSAWAH,TIDAK ADA,2019.0
JAWA BARAT,CIPINANG,TIDAK ADA,2019.0
JAWA BARAT,SUKASARI,TIDAK ADA,2019.0
JAWA BARAT,TAMANSARI,TIDAK ADA,2019.0
JAWA BARAT,KERTAJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKAMULYA,TIDAK ADA,2019.0
JAWA BARAT,MEKARSARI,TIDAK ADA,2019.0
JAWA BARAT,MEKARJAYA,TIDAK ADA,2019.0
JAWA BARAT,CURUG,ADA,2019.0
JAWA BARAT,PANGRADIN,TIDAK ADA,2019.0
JAWA BARAT,KALONGSAWAH,ADA,2019.0
JAWA BARAT,SIPAK,TIDAK ADA,2019.0
JAWA BARAT,JASINGA,ADA,2019.0
JAWA BARAT,KOLEANG,ADA,2019.0
JAWA BARAT,CIKOPOMAYAK,TIDAK ADA,2019.0
JAWA BARAT,SETU,TIDAK ADA,2019.0
JAWA BARAT,BARENGKOK,TIDAK ADA,2019.0
JAWA BARAT,BAGOANG,ADA,2019.0
JAWA BARAT,PANGAUR,TIDAK ADA,2019.0
JAWA BARAT,PAMAGERSARI,TIDAK ADA,2019.0
JAWA BARAT,JUGALA JAYA,TIDAK ADA,2019.0
JAWA BARAT,TEGALWANGI,TIDAK ADA,2019.0
JAWA BARAT,NEGLASARI,ADA,2019.0
JAWA BARAT,WIRAJAYA,TIDAK ADA,2019.0
JAWA BARAT,JAGABAYA,TIDAK ADA,2019.0
JAWA BARAT,GOROWONG,TIDAK ADA,2019.0
JAWA BARAT,DAGO,TIDAK ADA,2019.0
JAWA BARAT,PINGKU,TIDAK ADA,2019.0
JAWA BARAT,CIKUDA,TIDAK ADA,2019.0
JAWA BARAT,PARUNGPANJANG,TIDAK ADA,2019.0
JAWA BARAT,LUMPANG,TIDAK ADA,2019.0
JAWA BARAT,CIBUNAR,TIDAK ADA,2019.0
JAWA BARAT,JAGABITA,TIDAK ADA,2019.0
JAWA BARAT,GINTUNGCILEJET,TIDAK ADA,2019.0
JAWA BARAT,KABASIRAN,TIDAK ADA,2019.0
JAWA BARAT,MALASARI,ADA,2019.0
JAWA BARAT,CURUGBITUNG,ADA,2019.0
JAWA BARAT,CISARUA,TIDAK ADA,2019.0
JAWA BARAT,BANTARKARET,TIDAK ADA,2019.0
JAWA BARAT,HAMBARO,ADA,2019.0
JAWA BARAT,KALONGLIUD,ADA,2019.0
JAWA BARAT,NANGGUNG,ADA,2019.0
JAWA BARAT,PARAKANMUNCANG,TIDAK ADA,2019.0
JAWA BARAT,PANGKALJAYA,ADA,2019.0
JAWA BARAT,SUKALUYU,ADA,2019.0
JAWA BARAT,BATU TULIS,ADA,2019.0
JAWA BARAT,SUKAMAJU,TIDAK ADA,2019.0
JAWA BARAT,CIGUDEG,TIDAK ADA,2019.0
JAWA BARAT,BUNAR,TIDAK ADA,2019.0
JAWA BARAT,BANYURESMI,TIDAK ADA,2019.0
JAWA BARAT,CINTAMANIK,TIDAK ADA,2019.0
JAWA BARAT,ARGAPURA,ADA,2019.0
JAWA BARAT,BANGUNJAYA,TIDAK ADA,2019.0
JAWA BARAT,RENGASJAJAR,TIDAK ADA,2019.0
JAWA BARAT,BATUJAJAR,TIDAK ADA,2019.0
JAWA BARAT,WARGAJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKARAKSA,TIDAK ADA,2019.0
JAWA BARAT,BANYUWANGI,TIDAK ADA,2019.0
JAWA BARAT,BANYUASIH,TIDAK ADA,2019.0
JAWA BARAT,MEKARJAYA,TIDAK ADA,2019.0
JAWA BARAT,TEGALLEGA,TIDAK ADA,2019.0
JAWA BARAT,TAPOS,TIDAK ADA,2019.0
JAWA BARAT,CIOMAS,ADA,2019.0
JAWA BARAT,BATOK,TIDAK ADA,2019.0
JAWA BARAT,BABAKAN,TIDAK ADA,2019.0
JAWA BARAT,TENJO,TIDAK ADA,2019.0
JAWA BARAT,CILAKU,TIDAK ADA,2019.0
JAWA BARAT,SINGABRAJA,TIDAK ADA,2019.0
JAWA BARAT,SINGABANGSA,TIDAK ADA,2019.0
JAWA BARAT,BOJONG,TIDAK ADA,2019.0
JAWA BARAT,CILEUNGSI,ADA,2019.0
JAWA BARAT,CITAPEN,TIDAK ADA,2019.0
JAWA BARAT,CIBEDUG,TIDAK ADA,2019.0
JAWA BARAT,JAMBULUWUK,TIDAK ADA,2019.0
JAWA BARAT,BANJARSARI,ADA,2019.0
JAWA BARAT,TELUK PINANG,TIDAK ADA,2019.0
JAWA BARAT,BANJAR WARU,ADA,2019.0
JAWA BARAT,BENDUNGAN,ADA,2019.0
JAWA BARAT,PANDAN SARI,ADA,2019.0
JAWA BARAT,BOJONG MURNI,TIDAK ADA,2019.0
JAWA BARAT,BANJAR WANGI,ADA,2019.0
JAWA BARAT,CIAWI,ADA,2019.0
JAWA BARAT,BITUNGSARI,TIDAK ADA,2019.0
JAWA BARAT,BATULAYANG,ADA,2019.0
JAWA BARAT,JOGJOGAN,TIDAK ADA,2019.0
JAWA BARAT,CIBEUREUM,ADA,2019.0
JAWA BARAT,CILEMBER,ADA,2019.0
JAWA BARAT,CITEKO,ADA,2019.0
JAWA BARAT,TUGU SELATAN,ADA,2019.0
JAWA BARAT,LEUWIMALANG,ADA,2019.0
JAWA BARAT,KOPO,ADA,2019.0
JAWA BARAT,TUGU UTARA,ADA,2019.0
JAWA BARAT,SUKAMAJU,ADA,2019.0
JAWA BARAT,KUTA,TIDAK ADA,2019.0
JAWA BARAT,GADOG,ADA,2019.0
JAWA BARAT,SUKAKARYA,ADA,2019.0
JAWA BARAT,MEGAMENDUNG,ADA,2019.0
JAWA BARAT,CIPAYUNG DATAR,TIDAK ADA,2019.0
JAWA BARAT,SUKAMANAH,TIDAK ADA,2019.0
JAWA BARAT,SUKAGALIH,ADA,2019.0
JAWA BARAT,CIPAYUNG GIRANG,TIDAK ADA,2019.0
JAWA BARAT,SUKAMAHI,ADA,2019.0
JAWA BARAT,SUKARESMI,ADA,2019.0
JAWA BARAT,PASIR ANGIN,TIDAK ADA,2019.0
JAWA BARAT,PASIR MUNCANG,ADA,2019.0
JAWA BARAT,CIMANDE HILIR,TIDAK ADA,2019.0
JAWA BARAT,CIDERUM,ADA,2019.0
JAWA BARAT,CARINGIN,TIDAK ADA,2019.0
JAWA BARAT,CIHERANG PONDOK,ADA,2019.0
JAWA BARAT,CINAGARA,TIDAK ADA,2019.0
JAWA BARAT,CIMANDE,ADA,2019.0
JAWA BARAT,PANCAWATI,TIDAK ADA,2019.0
JAWA BARAT,MUARA JAYA,ADA,2019.0
JAWA BARAT,BASIR BUNCIR,ADA,2019.0
JAWA BARAT,LEMAH DUHUR,TIDAK ADA,2019.0
JAWA BARAT,TANGKIL,TIDAK ADA,2019.0
JAWA BARAT,CIJERUK,TIDAK ADA,2019.0
JAWA BARAT,CIPELANG,TIDAK ADA,2019.0
JAWA BARAT,WARUNG MENTENG,TIDAK ADA,2019.0
JAWA BARAT,TAJUR HALANG,ADA,2019.0
JAWA BARAT,CIPICUNG,TIDAK ADA,2019.0
JAWA BARAT,CIBALUNG,TIDAK ADA,2019.0
JAWA BARAT,SUKAHARJA,ADA,2019.0
JAWA BARAT,PALASARI,TIDAK ADA,2019.0
JAWA BARAT,TANJUNGSARI,TIDAK ADA,2019.0
JAWA BARAT,MEKARJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKAHARJA,ADA,2019.0
JAWA BARAT,PARAKAN,TIDAK ADA,2019.0
JAWA BARAT,CIOMAS,ADA,2019.0
JAWA BARAT,PAGELARAN,TIDAK ADA,2019.0
JAWA BARAT,SUKAMAKMUR,TIDAK ADA,2019.0
JAWA BARAT,CIAPUS,ADA,2019.0
JAWA BARAT,KOTA BATU,TIDAK ADA,2019.0
JAWA BARAT,LALADON,TIDAK ADA,2019.0
JAWA BARAT,CIOMAS RAHAYU,ADA,2019.0
JAWA BARAT,SUKADAMAI,TIDAK ADA,2019.0
JAWA BARAT,CIHERANG,TIDAK ADA,2019.0
JAWA BARAT,SINARSARI,ADA,2019.0
JAWA BARAT,SUKAWENING,TIDAK ADA,2019.0
JAWA BARAT,PETIR,TIDAK ADA,2019.0
